name	addr	size	len	scr
Emp Shockwave Missiles (???)	0x59CDE0	4	1	
CUnit - Air Strength	0x59CDE0	2	1	Unsupported
CUnit - Ground Strength	0x59CDE2	2	1	Unsupported
CUnit - Unit Finder	0x59CDE4	4	4	
CUnit - Repulse Unknown	0x59CDF4	1	1	Supported
CUnit - Repulse Angle	0x59CDF5	1	1	Supported
CUnit - Drift X	0x59CDF6	1	1	Supported
CUnit - Drift Y	0x59CDF7	1	1	Supported
SC Upgrade in Progress Lvl 3 (???)	0x59D568	1	72	
Last Unit Pointer	0x6283F8	4	1	
First Unit Pointer	0x628430	4	1	Backed By Code
First Empty Unit	0x628438	4	1	Backed By Code
Screen Coordinate X	0x628448	4	1	Read Only
Screen Coordinate Y	0x628470	4	1	Read Only
glScrollPixelX	0x62848C	4	1	Read Only
gfpCellMap	0x628494	4	1	Backed By Code
glScrollPixelY	0x6284A8	4	1	Read Only
Current Player Selection	0x6284B8	4	12	Backed By Code
Player 1 Selection Group	0x6284E8	4	12	Backed By Code
Player 2 Selection Group	0x628518	4	12	Backed By Code
Player 3 Selection Group	0x628548	4	12	Backed By Code
Player 4 Selection Group	0x628578	4	12	Backed By Code
Player 5 Selection Group	0x6285A8	4	12	Backed By Code
Player 6 Selection Group	0x6285D8	4	12	Backed By Code
Player 7 Selection Group	0x628608	4	12	Backed By Code
Player 8 Selection Group	0x628638	4	12	Backed By Code
Sprite Table	0x629D98	36	2500	Read Only
CSprite - Previous Entry	0x629D98	4	1	Supported
CSprite - Next Entry	0x629D9C	4	1	Supported
CSprite - Sprite ID	0x629DA0	2	1	Supported
CSprite - Player ID	0x629DA2	1	1	Supported
CSprite - Selection Index	0x629DA3	1	1	Supported
CSprite - Visibility Flags	0x629DA4	1	1	Unsupported
CSprite - Elevation Level	0x629DA5	1	1	Unsupported
CSprite - Draw Flags	0x629DA6	1	1	Unsupported
CSprite - Selection Timer	0x629DA7	1	1	Unsupported
CSprite - Index	0x629DA8	2	1	Unsupported
CSprite - Unknown Flags 12	0x629DAA	1	1	Unsupported
CSprite - Unknown flags 13	0x629DAB	1	1	Unsupported
CSprite - Position	0x629DAC	2	2	Unsupported
CSprite - Primary Image	0x629DB0	4	1	Unsupported
CSprite - Image Head	0x629DB4	4	1	Unsupported
CSprite - Image Tail	0x629DB8	4	1	Unsupported
Pylon Auras are Visible	0x63FF48	4	1	
gameTextCounters	0x640B24	4	12	Unsupported
Next Display Text Line	0x640B58	4	1	Simple Data
Display Text	0x640B60	218	13	Backed By Code
Trigger Wait Timers	0x650980	4	8	
Trigger Execution Timer (Hyper triggers)	0x6509A0	4	1	Simple Data
Trigger Current Player aka CP Trick	0x6509B0	4	1	Simple Data
Network Buffer	0x654880	496	1	Backed By Code
Network Buffer Used	0x654AA0	4	1	Supported
Accept Commands	0x6556E0	4	1	Unsupported
Upgrades.dat - Max Level	0x655700	1	61	Simple Data
Upgrades.dat - Mineral Cost Base	0x655740	2	61	Simple Data
Upgrades.dat - Gas Cost Factor	0x6557C0	2	61	Simple Data
Upgrades.dat - Gas Cost Base	0x655840	2	61	Simple Data
Upgrades.dat - Dat Requirement Offset	0x6558C0	2	61	Simple Data
Upgrades.dat - Time Factor	0x655940	2	61	Simple Data
Upgrades.dat - Mineral Cost Factor	0x6559C0	2	61	Simple Data
Upgrades.dat - Label	0x655A40	2	61	Simple Data
Upgrades.dat - Icon	0x655AC0	2	61	Simple Data
Upgrades.dat - Brood War Flag	0x655B3C	1	61	Simple Data
Upgrades.dat - Time Base	0x655B80	2	61	Simple Data
